Strategy,Avg Revenue,Std Revenue,Mean Occupancy,Mean Price,Price Volatility,Mean Reward
Fixed Price ($5.00),122237.02251696996,4099.321967716946,0.8493911592869894,5.0,0.0,3405.3405184465137
Fixed Price ($10.00),238555.64105056957,9104.212115035982,0.8289122527701368,10.0,0.0,6413.5700216034265
Time-Based ($3/$10),154666.91700570213,4219.52482305914,0.851744594667139,5.940972222222224,0.582309092015284,4633.787213263908
Random Policy,244001.61520467285,10385.721911210354,0.8287010809003597,10.192882911114753,4.60305234088392,6571.35768023071
Demand-Based (Rule),146627.40667481156,7740.209964279732,0.8548628135485976,5.543588,0.02370556,4521.371202389126
RL Agent (A2C),52255.6742670552,1856.7819102026556,0.8608660635866495,1.9986459,0.03772439,1594.7709503044794
