Strategy,Avg Revenue,Std Revenue,Mean Occupancy,Mean Price,Price Volatility,Mean Reward
Fixed Price ($5.00),121560.21718140754,3956.706948524054,0.8447073853384607,5.0,0.0,1211.255479216651
Fixed Price ($10.00),237051.11059615738,8785.462025348768,0.8237062650386069,10.0,0.0,2369.5153612859517
Time-Based ($3/$10),153976.93235351902,4086.911454660056,0.8469117063405601,5.940972222222222,0.5823090920152841,1533.048749498955
Random Policy,243805.04019689298,9227.451506245361,0.8236411763028583,10.223586962961381,4.625435048697877,2248.7764638682756
Demand-Based (Rule),145323.15450992348,7417.731640276727,0.8505428609429201,5.500239,0.024052491,1447.1304756142852
RL Agent (A2C),422064.33719446015,27765.625364666754,0.733652801038037,43.407787,0.4442309,4222.41416540707
